delay	freq	exp	textbox.text	unexp	
0.4	1000	exp	250	unexp	100
0.1	1000	exp	300	unexp	150
0.1	1000	exp	400	unexp	150
0.4	1000	exp	200	unexp	100
0.7	1000	exp	500	unexp	200
0.4	1000	exp	400	unexp	100
0.7	1000	exp	300	unexp	100
0.7	1000	exp	300	unexp	100
0.1	1000	exp	250	unexp	200
0.4	1000	exp	450	unexp	200
0.7	1000	exp	300	unexp	100
0.4	1000	exp	100	unexp	350
0.7	1000	exp	250	unexp	100
0.7	1000	exp	300	unexp	300
0.4	1000	exp	400	unexp	300
0.1	1000	exp	250		
0.1	1000	exp	700		170
0.1	1000	exp	600		
0.4	1000	exp	500		Difference= exp-unexp
0.7	1000	exp	300		138.8888889
0.4	1000	exp	200		
0.4	1000	exp	200		
0.1	1000	exp	200		
0.7	1000	exp	300		
0.1	1000	exp	500		
0.7	1000	exp	200		
0.1	1000	exp	300		
0.7	1000	exp	400		
0.1	1000	exp	100		
0.1	1000	exp	300		
0.4	1000	exp	100		
0.7	1000	exp	350		
0.1	1000	exp	200		
0.4	1000	exp	500		
0.4	1000	exp	300		
0.7	1000	exp	200		
0.7	1000	exp	200		
0.1	1000	exp	100		
0.1	1000	exp	100		
0.4	1000	exp	300		
0.4	1000	exp	200		
0.7	1000	exp	600		
0.4	1000	exp	400		
0.1	1000	exp	200		
0.7	1000	exp	400		
0.4	400				
0.1	400		308.8888889		
0.7	400				
0.7	400				
0.1	400				
0.4	400				
0.4	400				
0.1	400				
0.7	400				
0.4	400				
0.1	400				
0.7	400				
0.1	400				
0.7	400				
0.4	400				
